迭代,温度,当前成本,最佳成本
0,1000,1385,1370
1,950.0,1430,1370
2,902.5,1530,1370
3,857.375,1415,1370
4,814.5062499999999,1320,1320
5,773.7809374999998,1315,1280
6,735.0918906249998,1530,1280
7,698.3372960937497,1505,1280
8,663.4204312890622,1485,1280
9,630.2494097246091,1410,1280
10,598.7369392383787,1420,1280
11,568.8000922764597,1255,1255
12,540.3600876626367,1235,1235
13,513.3420832795049,1365,1190
14,487.6749791155296,1490,1190
15,463.29123015975307,1350,1190
16,440.1266686517654,1430,1190
17,418.1203352191771,1410,1190
18,397.2143184582182,1515,1190
19,377.3536025353073,1530,1190
20,358.4859224085419,1570,1190
21,340.5616262881148,1550,1190
22,323.533544973709,1620,1190
23,307.35686772502356,1525,1190
24,291.98902433877237,1445,1190
25,277.38957312183373,1415,1190
26,263.52009446574203,1450,1190
27,250.3440897424549,1490,1190
28,237.82688525533214,1510,1190
29,225.93554099256554,1440,1190
30,214.63876394293726,1525,1190
31,203.9068257457904,1485,1190
32,193.71148445850088,1520,1190
33,184.02591023557582,1505,1190
34,174.82461472379703,1345,1190
35,166.08338398760716,1385,1190
36,157.7792147882268,1555,1190
37,149.89025404881545,1460,1190
38,142.39574134637468,1475,1190
39,135.27595427905592,1460,1190
40,128.5121565651031,1455,1190
41,122.08654873684794,1420,1190
42,115.98222130000555,1395,1190
43,110.18311023500526,1380,1190
44,104.673954723255,1430,1190
45,99.44025698709224,1385,1190
46,94.46824413773763,1340,1190
47,89.74483193085074,1430,1190
48,85.25759033430819,1405,1190
49,80.99471081759278,1415,1190
50,76.94497527671314,1380,1190
51,73.09772651287747,1430,1190
52,69.4428401872336,1375,1190
53,65.97069817787191,1415,1190
54,62.67216326897831,1295,1190
55,59.53855510552939,1325,1190
56,56.56162735025292,1395,1190
57,53.733545982740274,1450,1190
58,51.04686868360326,1315,1190
59,48.49452524942309,1385,1190
60,46.06979898695194,1290,1190
61,43.76630903760434,1385,1190
62,41.577993585724116,1325,1190
63,39.499093906437906,1355,1190
64,37.52413921111601,1375,1190
65,35.6479322505602,1320,1190
66,33.86553563803219,1345,1190
67,32.17225885613058,1270,1190
68,30.563645913324052,1420,1190
69,29.035463617657847,1365,1190
70,27.583690436774955,1315,1190
71,26.204505914936206,1370,1190
72,24.894280619189395,1380,1190
73,23.649566588229924,1335,1190
74,22.467088258818425,1280,1190
75,21.3437338458775,1205,1190
76,20.276547153583625,1255,1190
77,19.26271979590444,1275,1175
78,18.29958380610922,1240,1175
79,17.384604615803756,1210,1175
80,16.51537438501357,1225,1175
81,15.68960566576289,1180,1175
82,14.905125382474745,1245,1160
83,14.159869113351007,1250,1160
84,13.451875657683456,1160,1140
85,12.779281874799283,1190,1140
86,12.140317781059318,1215,1140
87,11.533301892006351,1235,1140
88,10.956636797406032,1175,1140
89,10.40880495753573,1135,1135
90,9.888364709658944,1185,1135
91,9.393946474175996,1135,1130
92,8.924249150467196,1135,1130
93,8.478036692943835,1085,1085
94,8.054134858296642,1080,1070
95,7.65142811538181,1050,1050
96,7.268856709612719,1050,1050
97,6.9054138741320825,1080,1050
98,6.560143180425478,1075,1050
99,6.232136021404204,1145,1050
100,5.920529220333994,1115,1050
101,5.624502759317294,1130,1050
102,5.3432776213514295,1145,1050
103,5.076113740283858,1090,1050
104,4.822308053269665,1065,1050
105,4.581192650606181,1035,1035
106,4.352133018075872,995,995
107,4.134526367172078,1015,995
108,3.9278000488134737,1010,995
109,3.7314100463727997,1010,995
110,3.5448395440541596,1010,995
111,3.3675975668514515,1000,995
112,3.1992176885088788,975,975
113,3.039256804083435,975,975
114,2.887293963879263,970,970
115,2.7429292656852997,965,965
116,2.6057828024010345,960,960
117,2.4754936622809827,965,960
118,2.3517189791669333,970,960
119,2.2341330302085867,950,950
120,2.122426378698157,945,945
121,2.016305059763249,940,940
122,1.9154898067750865,940,940
123,1.819715316436332,945,940
124,1.7287295506145153,940,940
125,1.6422930730837895,940,940
126,1.5601784194296,940,940
127,1.48216949845812,940,940
128,1.408061023535214,940,940
129,1.3376579723584532,940,940
130,1.2707750737405306,930,930
131,1.207236320053504,930,930
132,1.1468745040508286,930,930
133,1.089530778848287,935,930
134,1.0350542399058726,930,930
135,0.983301527910579,930,930
136,0.93413645151505,925,925
137,0.8874296289392974,915,915
138,0.8430581474923325,915,915
139,0.8009052401177159,915,915
140,0.76085997811183,915,915
141,0.7228169792062386,915,915
142,0.6866761302459266,915,915
143,0.6523423237336302,915,915
144,0.6197252075469487,915,915
145,0.5887389471696013,915,915
146,0.5593019998111212,915,915
147,0.5313368998205651,915,915
148,0.5047700548295369,910,910
149,0.47953155208806,910,910
150,0.45555497448365695,910,910
151,0.4327772257594741,910,910
152,0.4111383644715004,910,910
153,0.39058144624792535,910,910
154,0.37105237393552903,910,910
155,0.35249975523875254,910,910
156,0.3348747674768149,910,910
157,0.31813102910297414,910,910
158,0.3022244776478254,910,910
159,0.2871132537654341,910,910
160,0.2727575910771624,910,910
161,0.25911971152330426,890,890
162,0.24616372594713903,890,890
163,0.23385553964978206,890,890
164,0.22216276266729296,890,890
165,0.2110546245339283,890,890
166,0.20050189330723187,890,890
167,0.19047679864187025,890,890
168,0.18095295870977673,890,890
169,0.1719053107742879,890,890
170,0.1633100452355735,890,890
171,0.15514454297379482,890,890
172,0.14738731582510506,890,890
173,0.1400179500338498,890,890
174,0.1330170525321573,890,890
175,0.12636619990554943,890,890
176,0.12004788991027195,890,890
177,0.11404549541475835,890,890
178,0.10834322064402042,890,890
179,0.1029260596118194,890,890
